State,AgencyType,AgencyName,Race,Religion,SexualOrientation,Ethnicity,Disability,Gender,GenderIdentity,1stQuarter,2ndQuarter,3rdQuarter,4thQuarter,Population,ID,StateCode
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",0,NY
New_York,Metropolitan Counties,Suffolk County Police Department,26,50,7,4,0,0,0,11,33,22,21,,0,NY
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",0,CA
New_York,Metropolitan Counties,Nassau,10,28,2,3,0,0,0,9,16,9,9,,0,NY
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",0,MA
New_Jersey,Cities,Lakewood Township,5,15,0,3,0,0,0,2,6,7,8,"92,664",0,NJ
New_York,Other Agencies,New York City Metropolitan Transportation Authority,2,15,0,0,0,0,0,4,5,4,4,,0,NY
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",0,WA
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",0,AZ
California,Cities,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306",0,CA
New_Jersey,Cities,East Brunswick Township,1,10,2,1,0,0,0,3,4,3,4,"48,073",0,NJ
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",0,NV
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",0,MO
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",0,DC
Arizona,Cities,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486",0,AZ
New_Jersey,Cities,Howell Township,5,6,4,3,0,0,0,2,7,5,4,"51,100",0,NJ
South_Carolina,Cities,Winnsboro,0,6,0,0,0,0,0,2,3,0,1,"3,428",0,SC
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981",0,CO
Virginia,Metropolitan Counties,Fairfax County Police Department,7,5,0,1,0,0,0,3,1,5,4,,0,VA
North_Carolina,Metropolitan Counties,Iredell,0,5,0,0,0,0,0,0,2,3,0,,0,NC
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",0,OH
Minnesota,Cities,St. Paul,24,4,2,0,0,0,0,0,18,11,1,"294,690",0,MN
Minnesota,Cities,Minneapolis,20,4,11,3,1,0,0,6,13,11,9,"396,206",0,MN
North_Carolina,Cities,Charlotte-Mecklenburg,8,4,6,3,0,0,0,10,4,2,5,"837,638",0,NC
Maryland,Metropolitan Counties,Montgomery County Police Department,6,4,2,1,0,0,0,3,5,2,3,,0,MD
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",1,NY
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",1,MA
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",1,CA
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",1,DC
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",1,NV
Illinois,Cities,Chicago,22,2,18,3,0,0,0,11,10,15,9,"2,720,554",1,IL
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",1,OH
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981",1,CO
